1	Wit	Wit	[Wit]	SPEC(deeleigen)	1.000000	O	B-NP	2	mod
2	bord	bord	[bord]	N(soort,ev,basis,onz,stan)	0.997977	O	I-NP	8	cnj
3	met	met	[met]	VZ(init)	0.999761	O	B-PP	2	mod
4	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	6	det
5	glazen	glazen	[glas][en]	ADJ(prenom,basis,zonder)	0.937500	O	I-NP	6	mod
6	potje	pot	[pot][je]	N(soort,ev,dim,onz,stan)	0.999323	O	I-NP	3	obj1
7	drop	drop	[drop]	N(soort,ev,basis,zijd,stan)	0.545455	O	B-NP	6	mod
8	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	0	ROOT
9	iets	iets	[iets]	VNW(onbep,pron,stan,vol,3o,ev)	0.996276	O	B-ADJP	8	cnj
10	wat	wat	[wat]	VNW(vb,pron,stan,vol,3o,ev)	0.666667	O	B-SBAR	9	mod
11	lijkt	lijken	[lijk][t]	WW(pv,tgw,met-t)	0.999614	O	B-VP	10	body
12	op	op	[op]	VZ(init)	0.996560	O	B-PP	11	pc
13	een	een	[een]	LID(onbep,stan,agr)	0.999286	O	B-NP	14	det
14	chocolade	chocolade	[chocolade]	N(soort,ev,basis,zijd,stan)	0.997691	O	I-NP	15	det
15	toetje	toet	[toe][tje]	N(soort,ev,dim,onz,stan)	0.999323	O	I-NP	12	obj1

1	Drie	drie	[drie]	TW(hoofd,prenom,stan)	0.996795	O	B-NP	2	det
2	vrouwen	vrouw	[vrouw][en]	N(soort,mv,basis)	0.998847	O	I-NP	0	ROOT
3	,	,	[,]	LET()	1.000000	O	O	2	punct
4	linkervrouw	linkervrouw	[lin][ker][vrouw]	N(soort,ev,basis,zijd,stan)	1.000000	O	B-NP	0	ROOT
5	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	I-NP	7	det
6	witte	wit	[wit][e]	ADJ(prenom,basis,met-e,stan)	0.999828	O	I-NP	7	mod
7	blazer	blazer	[blaas][er]	N(soort,ev,basis,zijd,stan)	0.999172	O	I-NP	4	app
8	aan	aan	[aan]	VZ(fin)	0.861111	O	O	0	ROOT
9	,	,	[,]	LET()	1.000000	O	O	8	punct
10	andere	ander	[ander][e]	ADJ(prenom,basis,met-e,stan)	0.996998	O	B-NP	11	mod
11	vrouw	vrouw	[vrouw]	N(soort,ev,basis,zijd,stan)	0.997481	O	I-NP	15	cnj
12	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	14	det
13	wit	wit	[wit]	ADJ(prenom,basis,zonder)	0.968750	O	I-NP	14	mod
14	hemdje	hemdje	[hemd][je]	N(soort,ev,dim,onz,stan)	0.999323	O	I-NP	15	cnj
15	en	en	[en]	VG(neven)	0.999727	O	B-CONJP	19	su
16	de	de	[de]	LID(bep,stan,rest)	0.981886	O	B-NP	18	det
17	oudere	oud	[oud][er][e]	ADJ(prenom,comp,met-e,stan)	0.998884	O	I-NP	18	mod
18	vrouw	vrouw	[vrouw]	N(soort,ev,basis,zijd,stan)	0.997481	O	I-NP	15	cnj
19	heeft	hebben	[heb][t]	WW(pv,tgw,met-t)	0.998149	O	B-VP	0	ROOT
20	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	22	det
21	zwarte	zwart	[zwart][e]	ADJ(prenom,basis,met-e,stan)	0.999828	O	I-NP	22	mod
22	trui	trui	[trui]	N(soort,ev,basis,zijd,stan)	0.999172	O	I-NP	19	obj1
23	aan	aan	[aan]	VZ(fin)	1.000000	O	O	19	svp

1	Vier	vier	[vier]	TW(hoofd,prenom,stan)	0.996795	O	B-NP	2	det
2	tennissers	tennisser	[tennis][er][s]	N(soort,mv,basis)	0.999317	O	I-NP	0	ROOT
3	een	een	[een]	TW(hoofd,nom,zonder-n,basis)	1.000000	O	B-NP	8	su
4	van	van	[van]	VZ(init)	0.999225	O	B-PP	3	mod
5	de	de	[de]	LID(bep,stan,rest)	0.981886	O	B-NP	7	det
6	middelste	middelst	[middelst][e]	ADJ(prenom,basis,met-e,stan)	0.517073	O	I-NP	7	mod
7	mannen	man	[man][en]	N(soort,mv,basis)	0.999108	O	I-NP	4	obj1
8	heeft	hebben	[heb][t]	WW(pv,tgw,met-t)	0.998149	O	B-VP	0	ROOT
9	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	11	det
10	zwarte	zwart	[zwart][e]	ADJ(prenom,basis,met-e,stan)	0.999828	O	I-NP	11	mod
11	muts	muts	[muts]	N(soort,ev,basis,zijd,stan)	0.998894	O	I-NP	8	obj1
12	op	op	[op]	VZ(fin)	0.818182	O	O	8	svp
13	,	,	[,]	LET()	1.000000	O	O	12	punct
14	rechter	rechter	[recht][er]	N(soort,ev,basis,zijd,stan)	0.986062	O	B-NP	16	su
15	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	I-NP	16	su
16	heeft	hebben	[heb][t]	WW(pv,tgw,met-t)	0.998149	O	B-VP	0	ROOT
17	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	19	det
