1	Drie	drie	[drie]	TW(hoofd,prenom,stan)	0.996795	O	B-NP	2	det
2	mannen	man	[man][en]	N(soort,mv,basis)	0.999466	O	I-NP	3	su
3	staan	staan	[sta]	WW(pv,tgw,mv)	0.596154	O	B-VP	0	ROOT
4	op	op	[op]	VZ(init)	0.996560	O	B-PP	3	predc
5	een	een	[een]	LID(onbep,stan,agr)	0.990385	O	B-NP	6	det
6	honkbalveld	honkbalveld	[honk][bal][veld]	N(soort,ev,basis,onz,stan)	0.997310	O	I-NP	4	obj1
7	.	.	[.]	LET()	1.000000	O	O	6	punct
8	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	9	det
9	man	man	[man]	N(soort,ev,basis,zijd,stan)	0.995858	O	I-NP	10	su
10	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
11	scheidsrechter	scheidsrechter	[scheidsrecht][er]	N(soort,ev,basis,zijd,stan)	0.999633	O	B-NP	10	predc
12	,	,	[,]	LET()	1.000000	O	O	11	punct
13	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-NP	14	det
14	andere	ander	[ander][e]	ADJ(nom,basis,met-e,zonder-n,stan)	0.614035	O	I-NP	15	su
15	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
16	slagman	slagman	[slag][man]	N(soort,ev,basis,zijd,stan)	0.988764	O	B-NP	17	cnj
17	en	en	[en]	VG(neven)	0.999194	O	B-CONJP	15	su
18	een	een	[een]	LID(onbep,stan,agr)	0.995147	O	B-DETP	19	det
19	andere	ander	[ander][e]	ADJ(nom,basis,met-e,zonder-n,stan)	0.614035	O	B-ADJP	20	su
20	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
21	catcher	catcher	[catcher]	N(soort,ev,basis,zijd,stan)	0.996344	O	B-NP	20	su
22	.	.	[.]	LET()	1.000000	O	O	21	punct
23	De	de	[de]	LID(bep,stan,rest)	0.996078	O	B-NP	24	det
24	catcher	catcher	[catcher]	N(soort,ev,basis,zijd,stan)	0.997976	O	I-NP	25	su
25	zit	zitten	[zit]	WW(pv,tgw,ev)	0.994691	O	B-VP	0	ROOT
26	gehurkt	hurken	[ge][hurk][t]	WW(vd,vrij,zonder)	0.997947	O	I-VP	25	vc
27	.	.	[.]	LET()	1.000000	O	O	26	punct

1	Een	een	[een]	LID(onbep,stan,agr)	0.981771	O	B-NP	2	det
2	hoop	hoop	[hoop]	N(soort,ev,basis,zijd,stan)	0.947368	O	I-NP	4	obj1
